year-month	data_source	country	term	hits	number of news
2018-2	Wikipedia	english	Latrodectus	31499	11
2018-3	Wikipedia	english	Latrodectus	39706	26
2018-4	Wikipedia	english	Latrodectus	42380	10
2018-5	Wikipedia	english	Latrodectus	58371	23
2018-6	Wikipedia	english	Latrodectus	63931	22
2018-7	Wikipedia	english	Latrodectus	80878	48
2018-8	Wikipedia	english	Latrodectus	97834	15
2018-9	Wikipedia	english	Latrodectus	69446	25
2019-1	Wikipedia	english	Latrodectus	33615	17
2019-10	Wikipedia	english	Latrodectus	52800	27
2019-11	Wikipedia	english	Latrodectus	34819	15
2019-12	Wikipedia	english	Latrodectus	32960	18
2019-2	Wikipedia	english	Latrodectus	118386	4
2019-3	Wikipedia	english	Latrodectus	36219	16
2019-4	Wikipedia	english	Latrodectus	46467	14
2019-5	Wikipedia	english	Latrodectus	54939	10
2019-6	Wikipedia	english	Latrodectus	57435	15
2019-7	Wikipedia	english	Latrodectus	66428	45
2019-8	Wikipedia	english	Latrodectus	69047	46
2019-9	Wikipedia	english	Latrodectus	61906	32
2020-1	Wikipedia	english	Latrodectus	30230	9
2020-10	Wikipedia	english	Latrodectus	62247	2
2020-11	Wikipedia	english	Latrodectus	41529	8
2020-12	Wikipedia	english	Latrodectus	36106	5
2020-2	Wikipedia	english	Latrodectus	27112	2
2020-3	Wikipedia	english	Latrodectus	32939	3
2020-4	Wikipedia	english	Latrodectus	51470	1
2020-5	Wikipedia	english	Latrodectus	75403	1
2020-6	Wikipedia	english	Latrodectus	62052	NA
2020-7	Wikipedia	english	Latrodectus	67458	NA
2020-8	Wikipedia	english	Latrodectus	69899	NA
2020-9	Wikipedia	english	Latrodectus	65295	NA
2010-1	Wikipedia	english	Spider	NA	2
2010-10	Wikipedia	english	Spider	NA	2
2010-11	Wikipedia	english	Spider	NA	3
2010-12	Wikipedia	english	Spider	NA	0
2010-2	Wikipedia	english	Spider	NA	2
2010-3	Wikipedia	english	Spider	NA	1
2010-4	Wikipedia	english	Spider	NA	1
2010-5	Wikipedia	english	Spider	NA	6
2010-6	Wikipedia	english	Spider	NA	1
2010-7	Wikipedia	english	Spider	NA	2
2010-8	Wikipedia	english	Spider	NA	3
2010-9	Wikipedia	english	Spider	NA	4
2011-1	Wikipedia	english	Spider	NA	3
2011-10	Wikipedia	english	Spider	NA	2
